time_sec,total_area_um2,num_active_islands,total_area_um2_smooth
501.867,99759.561,29,92444.14453399999
501.9,99759.561,29,92437.421701
501.933,99759.561,29,92431.24466
501.967,91570.21399999999,25,92425.06761900001
502.0,91570.21399999999,25,92418.890578
502.033,91570.21399999999,25,92412.713537
502.067,91570.21399999999,25,92414.21077999998
502.1,91570.21399999999,25,92415.631808
502.133,91570.21399999999,25,92417.151176
502.167,91570.21399999999,25,92418.670544
502.2,91570.21399999999,25,92420.189912
502.233,91570.21399999999,25,92421.70928
502.267,93288.722,33,92423.228648
502.3,93288.722,33,92424.760309
502.333,93288.722,33,92424.305481
502.367,93288.722,33,92423.869092
502.4,97747.256,35,92421.119232
502.433,97747.256,35,92418.369372
502.467,97747.256,35,92415.61951199999
502.5,97747.256,35,92412.86965200001
502.533,97747.256,35,92410.11979200001
502.567,97747.256,35,92407.08966
502.6,97747.256,35,92404.3398
502.633,97747.256,35,92403.48054799999
502.667,94000.466,29,92394.289353
502.7,95010.918,29,92385.09815800001
502.733,95010.918,29,92376.78957600001
502.767,95010.918,29,92368.937049
502.8,95010.918,29,92361.084522
502.833,95010.918,29,92353.23199500001
502.867,95010.918,29,92345.379468
502.9,95010.918,29,92334.61481900001
502.933,95010.918,29,92327.88952600001
502.967,95010.918,29,92321.164233
503.0,95010.918,29,92314.43894000001
503.033,95010.918,29,92308.99208
503.067,95010.918,29,92303.54522
503.1,95010.918,29,92298.09836
503.133,95010.918,29,92292.6515
503.167,95010.918,29,92287.20464
503.2,95010.918,29,92281.75778
503.233,94804.399,36,92276.31092
503.267,94804.399,36,92270.86406
503.3,94804.399,36,92265.41719999998
503.333,102332.401,37,92259.97034
503.367,102332.401,37,92254.52348
503.4,102332.401,37,92249.762545
503.433,102332.401,37,92245.00161
503.467,102332.401,37,92240.240675
503.5,100725.756,35,92239.48222
503.533,100725.756,35,92238.723765
503.567,100725.756,35,92236.693023
503.6,95564.083,28,92234.66228099998
503.633,95564.083,28,92232.631539
503.667,95564.083,28,92226.76181
503.7,95564.083,28,92220.892081
